ID,First Name,Last Name,Email,Car Make,Car Model,VIN,Manufactured Date,Age of Vehicle
1569,Francis,Barajas,fbarajasfs@theglobeandmail.com,Chevrolet,Corvette,1G6AC5SX4E0734525,1955-01-01,70
1644,Sully,Blaschek,sblaschekhv@biglobe.ne.jp,Chevrolet,Corvette,WAUBF98E78A441980,1957-01-01,68
911,Wylie,O'Loughane,woloughanepa@phpbb.com,Chevrolet,Corvette,1GYS4KEF4DR719222,1961-01-01,64
1113,Renaldo,Cruickshank,rcruickshank34@biblegateway.com,Studebaker,Avanti,1FTSW3A51AE546990,1961-01-01,64
818,Jacki,Oloshkin,joloshkinmp@wp.com,Studebaker,Avanti,1G6DJ577580697873,1962-01-01,63
1501,Corrinne,Cockle,ccockledw@tripod.com,Studebaker,Avanti,1G6DP577X70092695,1962-01-01,63
445,Magnum,Slark,mslarkcc@imageshack.us,Pontiac,Grand Prix,3C6TD4DT0CG848478,1963-01-01,62
512,Jenine,Lindsley,jlindsleye7@networksolutions.com,Studebaker,Avanti,WBAAW33491E553265,1963-01-01,62
1579,Harold,Johnes,hjohnesg2@wunderground.com,Studebaker,Avanti,SCBZB25E11C210997,1963-01-01,62
458,Trumann,Ambresin,tambresincp@dion.ne.jp,Studebaker,Avanti,WAUBFAFL9EN692667,1964-01-01,61
825,Derry,Hourahan,dhourahanmw@upenn.edu,Ford,Galaxie,WDCGG5GB3AF672187,1964-01-01,61
1436,Norrie,Landal,nlandalc3@pcworld.com,Pontiac,Bonneville,1GYFC16229R806179,1965-01-01,60
280,Freeman,Hurdiss,fhurdiss7r@alexa.com,Ford,Galaxie,WBAAZ33493K781066,1966-01-01,59
138,Alano,Lanfranconi,alanfranconi3t@vinaora.com,Pontiac,Bonneville,WAUSF98K39A637521,1967-01-01,58
606,June,Molineaux,jmolineauxgt@nasa.gov,Ford,Fairlane,JTDKDTB3XC1824785,1967-01-01,58
1369,Devora,Rein,dreina8@histats.com,Shelby,GT500,WVGAV7AX7AW433125,1968-01-01,57
789,Naomi,Nowak,nnowaklw@cisco.com,Pontiac,Firebird,1G6DG5EG5A0352950,1969-01-01,56
965,Brooks,McCane,bmccaneqs@nydailynews.com,Ford,Mustang,3VW4T7AT7EM882912,1969-01-01,56
604,Carolee,Stadden,cstaddengr@cisco.com,Citroën,SM,WAUVC58E53A773648,1972-01-01,53
718,Hilliard,Longfield,hlongfieldjx@artisteer.com,Chevrolet,Camaro,WBAKF9C54CE524646,1972-01-01,53
1871,Emmey,Ebbin,eebbino6@youtu.be,Ford,Thunderbird,JTHBP5C29E5477856,1972-01-01,53
2001,Tasia,Cheng,tcheng0@japanpost.jp,Ford,Mustang,2G4WN58CX91155675,1972-01-01,53
33,Morgan,Liversage,mliversagew@usnews.com,Chevrolet,Camaro,3D73M3CL4AG632270,1974-01-01,51
1428,Kevon,Cudiff,kcudiffbv@weather.com,Pontiac,Grand Prix,JN8AZ2KR3BT058532,1974-01-01,51
1239,Zita,Tapson,ztapson6m@nymag.com,Chevrolet,Camaro,3C6TD5KTXCG066021,1975-01-01,50
1677,Lindi,Fincham,lfinchamis@blogtalkradio.com,Chevrolet,Corvette,WBANF735X6C050364,1975-01-01,50
